"","BICC","BICH","BICI","BICLog","BICT","WBICC","WBICH","WBICI","WBICLog","CBICT"
"1",2320.42251386623,2330.06814715794,2332.59727709031,2317.84736421029,2326.88557168908,0,0,0,1,0
"2",2017.90463943438,2026.64063217715,2030.02362188949,1981.07739101436,1981.71205971109,0,0,0,1,0
"3",2297.01106080222,2302.59879841146,2308.08719889539,2299.32544698022,2302.28059465792,1,0,0,0,0
"4",2271.21180527456,2282.66258988572,2283.63518019098,2274.18432877427,2281.27576014096,1,0,0,0,0
"5",2232.40738013001,2242.49914979118,2242.63576457192,2240.99296382651,2243.39143277615,1,0,0,0,0
"6",2221.53989487448,2232.60416017798,2233.13958665797,2229.59201149304,2232.35159365141,1,0,0,0,0
"7",2223.33016894382,2230.38689161809,2234.32818016392,2217.48286664911,2223.19792099555,0,0,0,1,0
"8",2205.68695709979,2217.34235101932,2217.74448830467,2189.06587385894,2200.00807715622,0,0,0,1,0
"9",2240.93515740364,2246.84147498516,2251.88507026083,2208.1391640481,2222.3148482933,0,0,0,1,0
"10",2267.13484849926,2278.5437936972,2277.68537841113,2278.15859786309,2278.77907109593,1,0,0,0,0
"11",2152.84324080849,2164.1564525778,2164.65079510874,2158.28163145237,2161.92921976007,1,0,0,0,0
"12",2251.14330445276,2260.3228268133,2262.0558954357,2260.07859156142,2260.39466053729,1,0,0,0,0
"13",2282.13150670724,2290.45162290607,2294.08561575112,2282.7673587195,2288.33773955513,1,0,0,0,0
"14",2269.6346598857,2277.87310554954,2281.52987538235,2263.16879476333,2264.19496605041,0,0,0,1,0
"15",2011.66394573191,2017.21911915231,2022.12820783481,2014.67375373319,2014.0796364717,1,0,0,0,0
"16",2266.51274017176,2278.06180175542,2278.70430264032,2271.73356012716,2274.87318311494,1,0,0,0,0
"17",2201.76874546242,2212.87228589838,2213.89090204331,2212.49180766784,2213.98651426793,1,0,0,0,0
"18",2325.88738572935,2335.62245956515,2336.6990111599,2318.70784564782,2328.93617659455,0,0,0,1,0
"19",2322.1806430477,2334.17599640051,2331.39348526769,2320.47806061642,2327.93105103565,0,0,0,1,0
"20",2165.36400880413,2175.54951441564,2176.3715998393,2177.34548127906,2176.56487745019,1,0,0,0,0
"21",2103.28720762605,2113.10187407024,2115.50056742562,2101.83012464069,2108.73641067101,0,0,0,1,0
"22",2092.74488313644,2103.98957189894,2104.51272651827,2099.58193082707,2102.64144331909,1,0,0,0,0
"23",2221.3527250164,2228.61166165606,2231.43176960254,2217.65063664746,2222.48716029698,0,0,0,1,0
"24",2209.06465674428,2221.28388144512,2218.820577552,2213.08582724007,2220.25125764595,1,0,0,0,0
"25",2129.8329060954,2141.41973556025,2142.08477748523,2134.15094671809,2140.35236500495,1,0,0,0,0
"26",2199.99857504665,2210.45204221476,2207.28219153856,2202.64503672074,2208.94761281409,1,0,0,0,0
"27",2511.20783213372,2522.65158993472,2522.38021661888,2502.11178808012,2516.30755168205,0,0,0,1,0
"28",2236.53182615682,2248.68334211673,2248.36173110801,2247.54697302629,2248.60111224791,1,0,0,0,0
"29",2445.45365760832,2452.25680751178,2457.21758757725,2449.00789947153,2452.22946558888,1,0,0,0,0
"30",2191.18263257796,2202.01698420602,2203.45658185688,2192.52119536148,2202.68272295828,1,0,0,0,0
