"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"ftw",0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
"AICPropWC",0.7,0.7,0.6,0.6,0.766666666666667,0.7,0.6,0.6,0.766666666666667,0.6,0.733333333333333,0.533333333333333,0.466666666666667,0.533333333333333,0.7,0.7,0.433333333333333,0.466666666666667,0.5,0.566666666666667,0.466666666666667,0.333333333333333,0.4,0.266666666666667,0.166666666666667,0.233333333333333,0.3,0.3,0.133333333333333,0.133333333333333,0.233333333333333,0.2,0.233333333333333,0.1,0.1,0.0666666666666667,0.166666666666667,0.1,0.0666666666666667,0.166666666666667,0.0666666666666667,0.0666666666666667,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0666666666666667,0,0,0.0333333333333333,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AICPropWH",0.0666666666666667,0.0666666666666667,0.0333333333333333,0.0333333333333333,0.0666666666666667,0.1,0.0666666666666667,0.1,0.0333333333333333,0.1,0.0666666666666667,0.0333333333333333,0.0333333333333333,0.1,0,0,0.0333333333333333,0.0666666666666667,0.0666666666666667,0.0333333333333333,0.1,0,0.0666666666666667,0.0333333333333333,0.0333333333333333,0.0666666666666667,0.0333333333333333,0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0,0,0.0333333333333333,0.0666666666666667,0.0333333333333333,0.0666666666666667,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AICPropCI",0.1,0.166666666666667,0.166666666666667,0.166666666666667,0.1,0.133333333333333,0.166666666666667,0.2,0.133333333333333,0.133333333333333,0.133333333333333,0.266666666666667,0.266666666666667,0.3,0.233333333333333,0.166666666666667,0.4,0.266666666666667,0.233333333333333,0.233333333333333,0.333333333333333,0.6,0.333333333333333,0.566666666666667,0.733333333333333,0.6,0.6,0.666666666666667,0.766666666666667,0.833333333333333,0.733333333333333,0.733333333333333,0.7,0.766666666666667,0.8,0.833333333333333,0.766666666666667,0.766666666666667,0.933333333333333,0.833333333333333,0.866666666666667,0.933333333333333,0.866666666666667,0.9,0.933333333333333,0.933333333333333,0.966666666666667,0.9,0.966666666666667,0.966666666666667,0.933333333333333,0.966666666666667,0.933333333333333,1,1,1,1,1,1,1,1,1,1,1,1,0.966666666666667,1,1,1,1,0.966666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AICPropWL",0.1,0.0666666666666667,0.0666666666666667,0.1,0.0333333333333333,0,0.1,0.0333333333333333,0.0666666666666667,0.166666666666667,0.0666666666666667,0.1,0.166666666666667,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0666666666666667,0.166666666666667,0.1,0.133333333333333,0.1,0.0666666666666667,0.1,0.0666666666666667,0.0333333333333333,0.0333333333333333,0.0666666666666667,0,0,0,0,0,0.0666666666666667,0.1,0.0666666666666667,0,0.0333333333333333,0,0,0,0,0,0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0,0.0333333333333333,0,0.0333333333333333,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BICPropWC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.966666666666667,1,0.966666666666667,1,0.966666666666667,1,1,0.966666666666667,0.966666666666667,1,0.933333333333333,0.833333333333333,0.933333333333333,0.9,0.866666666666667,0.966666666666667,0.866666666666667,0.8,0.9,0.8,0.833333333333333,0.766666666666667,0.733333333333333,0.733333333333333,0.633333333333333,0.766666666666667,0.766666666666667,0.733333333333333,0.533333333333333,0.7,0.566666666666667,0.4,0.533333333333333,0.4,0.533333333333333,0.466666666666667,0.333333333333333,0.5,0.3,0.3,0.2,0.3,0.233333333333333,0.333333333333333,0.2,0.166666666666667,0.166666666666667,0.166666666666667,0.0333333333333333,0.133333333333333,0.133333333333333,0.133333333333333,0.1,0,0,0,0.0666666666666667,0,0.0666666666666667,0.0333333333333333,0.0333333333333333,0.0333333333333333,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BICPropWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BICPropCI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0.0333333333333333,0,0,0.0333333333333333,0.0333333333333333,0,0.0666666666666667,0.166666666666667,0.0666666666666667,0.1,0.133333333333333,0.0333333333333333,0.133333333333333,0.2,0.1,0.2,0.166666666666667,0.233333333333333,0.266666666666667,0.266666666666667,0.366666666666667,0.233333333333333,0.233333333333333,0.266666666666667,0.466666666666667,0.266666666666667,0.4,0.6,0.466666666666667,0.6,0.466666666666667,0.533333333333333,0.666666666666667,0.5,0.7,0.7,0.8,0.7,0.766666666666667,0.666666666666667,0.8,0.833333333333333,0.833333333333333,0.833333333333333,0.966666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.9,1,1,1,0.933333333333333,1,0.933333333333333,0.966666666666667,0.966666666666667,0.966666666666667,1,1,0.966666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BICPropWL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cvPropWC",0.466666666666667,0.4,0.333333333333333,0.433333333333333,0.466666666666667,0.366666666666667,0.466666666666667,0.366666666666667,0.333333333333333,0.3,0.233333333333333,0.366666666666667,0.433333333333333,0.2,0.333333333333333,0.233333333333333,0.133333333333333,0.233333333333333,0.4,0.2,0.2,0.333333333333333,0.266666666666667,0.333333333333333,0.2,0.2,0.133333333333333,0.2,0.266666666666667,0.166666666666667,0.2,0.4,0.133333333333333,0.233333333333333,0.2,0.3,0.2,0.233333333333333,0.166666666666667,0.266666666666667,0.266666666666667,0.166666666666667,0.3,0.133333333333333,0.333333333333333,0.2,0.233333333333333,0.233333333333333,0.0666666666666667,0.133333333333333,0.3,0.366666666666667,0.1,0.0666666666666667,0.333333333333333,0.2,0.266666666666667,0.166666666666667,0.233333333333333,0.233333333333333,0.233333333333333,0.333333333333333,0.333333333333333,0.4,0.2,0.266666666666667,0.366666666666667,0.2,0.3,0.4,0.133333333333333,0.166666666666667,0.233333333333333,0.2,0.3,0.2,0.2,0.466666666666667,0.266666666666667,0.2,0.333333333333333,0.233333333333333,0.266666666666667,0.333333333333333,0.433333333333333,0.266666666666667,0.3,0.3,0.3,0.2,0.266666666666667,0.366666666666667,0.3,0.4,0.466666666666667,0.366666666666667,0.333333333333333,0.333333333333333,0.433333333333333,0.233333333333333
