X1,X2,X3,X4,X5,X6,scale,U,negUlog,hf,T,status
1,1,0,0,0,0,1,0.235132247,1.44760717,4.055199967,35.69755331,1
0,0,0,0,0,0,1,0.429169209,0.84590401,1,84.59040102,1
1,0,0,1,0,0,1,0.593527038,0.52167251,2.225540928,23.44025684,1
0,0,0,0,0,0,1,0.870655929,0.13850841,1,13.85084101,1
1,0,0,1,0,0,1,0.563863116,0.572943759,2.225540928,25.74402257,1
0,1,0,0,0,0,1,0.745342097,0.293911975,2.013752707,14.59523676,1
0,0,1,0,0,0,1,0.009528949,4.65342081,1.105170918,421.058927,1
0,1,0,1,0,1,1,0.536451466,0.622779185,4.48168907,13.89608193,1
0,0,0,0,0,0,1,0.659974869,0.415553522,1,41.55535218,1
1,1,1,1,1,1,1,0.653238932,0.425812318,20.08553692,2.119994698,1
1,1,0,1,0,1,1,0.368470017,0.998395935,9.025013499,11.06254229,1
1,1,0,0,0,0,1,0.90691451,0.097707089,4.055199967,2.409427151,1
0,1,0,0,0,0,1,0.143981471,1.938070658,2.013752707,96.24174066,1
1,0,1,0,1,0,1,0.867491562,0.142149494,4.48168907,3.171783944,1
1,1,1,1,1,1,1,0.90273202,0.102329536,20.08553692,0.509468763,1
0,0,1,1,0,0,1,0.244921139,1.406819003,1.221402758,115.1805982,1
0,0,1,1,0,0,1,0.486128666,0.721281945,1.221402758,59.05357103,1
1,1,1,0,1,0,1,0.792656529,0.23236528,9.025013499,2.574680696,1
0,1,1,1,0,1,1,0.349424098,1.051468913,4.953032424,21.22879123,1
0,1,1,0,0,0,1,0.574398508,0.554431859,2.225540928,24.91222927,1
1,0,1,0,1,0,1,0.722471863,0.325076803,4.48168907,7.253443919,1
1,1,0,1,0,1,1,0.372350272,0.987920277,9.025013499,10.94646869,1
0,1,0,1,0,1,1,0.084632025,2.469442542,4.48168907,55.10071099,1
1,0,1,0,1,0,1,0.552713769,0.592915007,4.48168907,13.22972205,1
0,0,0,1,0,0,1,0.866664863,0.143102925,1.105170918,12.9484881,1
1,0,1,1,1,0,1,0.153192357,1.876060914,4.953032424,37.87701661,1
0,1,1,0,0,0,1,0.448386793,0.802099041,2.225540928,36.04063313,1
0,0,1,1,0,0,1,0.15213366,1.8829958,1.221402758,154.1666569,1
0,1,0,0,0,0,1,0.711774379,0.339994301,2.013752707,16.88361733,1
0,1,0,0,0,0,1,0.825021139,0.19234627,2.013752707,9.551633069,1
0,1,1,0,0,0,1,0.39316747,0.933519626,2.225540928,41.94574067,1
1,0,0,1,0,0,1,0.476176017,0.74196771,2.225540928,33.33875823,1
0,0,0,0,0,0,1,0.797052993,0.226834112,1,22.68341121,1
1,1,1,0,1,0,1,0.5347762,0.625906938,9.025013499,6.935246553,1
1,0,0,1,0,0,1,0.912254712,0.091836039,2.225540928,4.126459209,1
1,0,1,0,1,0,1,0.534219241,0.62694896,4.48168907,13.98912219,1
1,0,1,0,1,0,1,0.064067031,2.747825377,4.48168907,61.31227164,1
1,1,0,1,0,1,1,0.57722288,0.549526813,9.025013499,6.088930652,1
0,1,0,0,0,0,1,0.948033914,0.053365003,2.013752707,2.650027617,1
1,1,0,0,0,0,1,0.71851472,0.330569087,4.055199967,8.15173332,1
1,1,0,0,0,0,1,0.63408919,0.455565656,4.055199967,11.23411076,1
0,0,0,0,0,0,1,0.39912752,0.918474313,1,91.84743132,1
1,1,1,0,1,0,1,0.050452814,2.986716756,9.025013499,33.09376497,1
1,0,0,1,0,0,1,0.529035112,0.636700475,2.225540928,28.60879648,1
1,1,1,1,1,1,1,0.129426056,2.044645557,20.08553692,10.17969081,1
1,0,0,0,0,0,1,0.382285372,0.961587902,2.013752707,47.75104204,1
0,1,0,1,0,1,1,0.557981314,0.583429804,4.48168907,13.01807857,1
0,0,1,0,0,0,1,0.41666641,0.875469354,1.105170918,79.21574294,1
0,0,1,1,0,0,1,0.364354695,1.00962745,1.221402758,82.66130422,1
0,0,0,0,0,0,1,0.264986776,1.328075357,1,132.8075357,1
0,1,0,1,0,1,1,0.676042852,0.391498815,4.48168907,8.735519331,1
1,0,1,1,1,0,1,0.26720023,1.319756978,4.953032424,26.64543384,1
0,1,1,1,0,1,1,0.501872849,0.689408479,4.953032424,13.91891715,1
1,1,1,1,1,1,1,0.152519995,1.880459575,20.08553692,9.36225694,1
1,0,1,1,1,0,1,0.258753503,1.351879397,4.953032424,27.29397431,1
1,1,0,1,0,1,1,0.876548689,0.131763027,9.025013499,1.459975957,1
0,1,0,1,0,1,1,0.854705839,0.156997917,4.48168907,3.503097036,1
0,0,1,0,0,0,1,0.109651119,2.210451599,1.105170918,200.0099318,1
0,0,1,1,0,0,1,0.426612751,0.851878584,1.221402758,69.74591945,1
1,1,1,1,1,1,1,0.881969115,0.125598241,20.08553692,0.62531682,1
0,0,1,1,0,0,1,0.437571985,0.826514049,1.221402758,67.66924695,1
1,0,0,0,0,0,1,0.676558395,0.390736516,2.013752707,19.40340116,1
0,0,1,0,0,0,1,0.529455942,0.635905325,1.105170918,57.53909323,1
1,0,0,0,0,0,1,0.633509916,0.456479626,2.013752707,22.66810737,1
1,0,1,1,1,0,1,0.5891479,0.529078024,4.953032424,10.68190107,1
0,0,0,1,0,0,1,0.079061814,2.537525278,1.105170918,229.6047821,1
1,0,1,1,1,0,1,0.132511375,2.021086786,4.953032424,40.80503847,1
1,1,1,1,1,1,1,0.077363443,2.559240921,20.08553692,12.74171027,1
0,1,0,1,0,1,1,0.028709973,3.550510734,4.48168907,79.22260287,1
0,1,1,1,0,1,1,0.587423839,0.532008677,4.953032424,10.74106994,1
0,1,1,0,0,0,1,0.98930841,0.010749155,2.225540928,0.482990686,1
0,1,1,1,0,1,1,0.281353544,1.268143235,4.953032424,25.60337035,1
1,1,0,0,0,0,1,0.445224014,0.809177722,4.055199967,19.95407694,1
0,0,0,1,0,0,1,0.290687393,1.23550684,1.105170918,111.7932819,1
1,0,1,1,1,0,1,0.542741038,0.611122982,4.953032424,12.33836021,1
1,0,0,1,0,0,1,0.75285492,0.283882739,2.225540928,12.75567371,1
0,0,0,1,0,0,1,0.855168866,0.156456325,1.105170918,14.15675373,1
0,1,0,1,0,1,1,0.755209215,0.280760462,4.48168907,6.264612675,1
0,1,0,1,0,1,1,0.447805289,0.803396764,4.48168907,17.92620487,1
0,1,1,0,0,0,1,0.517734449,0.658292816,2.225540928,29.57900289,1
1,0,0,1,0,0,1,0.177331167,1.729736294,2.225540928,77.72206173,1
1,0,1,0,1,0,1,0.070097885,2.657862659,4.48168907,59.30493207,1
1,0,0,1,0,0,1,0.917242893,0.086382964,2.225540928,3.881436781,1
0,0,1,0,0,0,1,0.6012889,0.508679761,1.105170918,46.0272482,1
1,0,1,0,1,0,1,0.406190224,0.900933697,4.48168907,20.10254801,1
1,0,0,0,0,0,1,0.72096841,0.327159956,2.013752707,16.24628263,1
0,0,0,1,0,0,1,0.449642009,0.799303548,1.105170918,72.32397587,1
1,0,1,1,1,0,1,0.682889275,0.381422548,4.953032424,7.700788436,1
1,1,1,1,1,1,1,0.050780501,2.980242846,20.08553692,14.83775543,1
0,1,1,1,0,1,1,0.095231558,2.351443903,4.953032424,47.47483363,1
0,0,0,0,0,0,1,0.448190692,0.802536485,1,80.25364846,1
1,0,1,1,1,0,1,0.079593021,2.530828866,4.953032424,51.09655358,1
1,1,0,1,0,1,1,0.088215845,2.427968684,9.025013499,26.90265986,1
1,0,1,0,1,0,1,0.634543506,0.454849427,4.48168907,10.14906255,1
1,0,0,1,0,0,1,0.233470046,1.454701494,2.225540928,65.36395154,1
1,0,0,0,0,0,1,0.837218577,0.1776701,2.013752707,8.822836044,1
0,0,0,1,0,0,1,0.365686553,1.005978726,1.105170918,91.02471932,1
1,1,1,0,1,0,1,0.979377638,0.020837972,9.025013499,0.230891311,1
0,0,0,0,0,0,1,0.319839069,1.139937318,1,113.9937318,1
0,1,1,0,0,0,1,0.107622274,2.229127646,2.225540928,100.1611616,1
1,0,0,0,0,0,1,0.004955345,5.307288568,2.013752707,263.5521506,1
1,1,0,0,0,0,1,0.18323173,1.69700364,4.055199967,41.84759455,1
0,0,1,0,0,0,1,0.3751888,0.980325913,1.105170918,88.70355679,1
0,1,0,0,0,0,1,0.637965217,0.449471517,2.013752707,22.32009496,1
0,0,0,0,0,0,1,0.549121836,0.599434939,1,59.94349387,1
0,0,0,0,0,0,1,0.268441157,1.315123544,1,131.5123544,1
1,0,1,1,1,0,1,0.578024059,0.548139787,4.953032424,11.06675143,1
0,0,0,1,0,0,1,0.341372542,1.074780901,1.105170918,97.25019751,1
1,1,0,0,0,0,1,0.098438949,2.318318734,4.055199967,57.16903612,1
0,0,0,0,0,0,1,0.217949188,1.523493327,1,152.3493327,1
1,0,1,0,1,0,1,0.340870484,1.076252686,4.48168907,24.01444342,1
0,1,1,0,0,0,1,0.243457486,1.412812946,2.225540928,63.48177773,1
0,1,1,0,0,0,1,0.638456182,0.448702233,2.225540928,20.16149095,1
1,0,1,0,1,0,1,0.629665011,0.46256733,4.48168907,10.32127225,1
1,1,1,0,1,0,1,0.395088703,0.928644975,9.025013499,10.28967962,1
1,0,0,1,0,0,1,0.495038382,0.703119981,2.225540928,31.59321727,1
1,1,0,1,0,1,1,0.085243487,2.462243561,9.025013499,27.28243633,1
0,1,0,0,0,0,1,0.220741048,1.510764994,2.013752707,75.02236935,1
1,1,1,1,1,1,1,0.37602842,0.978090554,20.08553692,4.869626129,1
0,0,0,1,0,0,1,0.509784713,0.673766773,1.105170918,60.96493877,1
1,1,0,0,0,0,1,0.017045698,4.071857444,4.055199967,100.4107683,1
1,0,0,0,0,0,1,0.598075268,0.514038667,2.013752707,25.52640476,1
